Bank,City,Branch,Location,Review,Rating,Date
Al Barid Bank,Rabat,Al Barid Bank,"X4JM+CC2, Rabat 10112","Service très très nul! Directrice souvent absente et si par chance elle est présente, aucun respect des clients de sa part, antipathique, malveillante!! Elle a toujours des problèmes familiaux à régler au téléphone !!
J'ai toujours de mauvaises expériences avec cette banque!!
Je changerai cette banque.",1 étoile,il y a 3 ans
Al Barid Bank,Rabat,Al Barid Bank,"X4JM+CC2, Rabat 10112","null de chez null, jai jamais été aussi deçue, aucun effort, je ne reçois que les colis qui arrivent par erreur à d'autres agence, sinon si un colis arrive à ma boite postale chez cet agence ils ne fournissent aucun effort même pas un sms …",1 étoile,il y a 3 ans
Al Barid Bank,Rabat,Al Barid Bank,"X4JM+CC2, Rabat 10112","Service très nul, Aucun respect aux clients",1 étoile,il y a 2 ans
Al Barid Bank,Rabat,Al Barid bank,"X43P+J7F, Av. Annakhil, Rabat","Pour moi c'est 0 étoiles : la pire banque jamais conçue, particulièrement pour les Marocains résidents à l'étranger. Aucun moyen de vous joindre ? Ni téléphone institutionnel, ni RS, ni centre d'appel, même ma propre agence ne me répond pas alors que j'essaie ""d'entrer en communication"" avec votre honorable institution.
UNE CATASTROPHE !",1 étoile,il y a 5 mois
Al Barid Bank,Rabat,Al Barid bank,"X43P+J7F, Av. Annakhil, Rabat","Très mauvaise service, surtout pour la femme charger de compte a chaque fois que je viens je passe environ 2 h minimum a attendre 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 surtout a éviter au max …",1 étoile,il y a 2 mois
Al Barid Bank,Rabat,Al Barid bank,"X43P+J7F, Av. Annakhil, Rabat","""Ils nous ont fait virer avant la fermeture de l'agence. La directrice ne traite pas les clients avec un sourire. Nous y étions là-bas à 14h10, alors que la fermeture pendant le Ramadan est à 15h00. Il nous a dit : 'Désolé, vous pouvez revenir la semaine prochaine', alors qu'il y avait largement le temps de nous servir.""",1 étoile,il y a 2 mois
Al Barid Bank,Rabat,Al Barid Bank,"X4F3+4X6, Av. Al Menzeh, Rabat",Le guichet auto est toujours en panne c'est hyper catastrophique on doit réclamer au siège,1 étoile,il y a 3 mois
Al Barid Bank,Rabat,Al Barid Bank,"X4F3+4X6, Av. Al Menzeh, Rabat",Aucun respect envers les clients. On attend plus de 3 heures puis on nous a demandé de revenir le lendemain. La même histoire se répète.. service très très nul. Le personnel n'est pas du tout à l'écoute et ils ne travaillent pas sérieusement. Vous ne méritez même pas une étoile. حسبي الله و نعم الوكيل,1 étoile,il y a 3 ans
Al Barid Bank,Rabat,Al Barid Bank,"X4F3+4X6, Av. Al Menzeh, Rabat","Aucune importance pour les clients
Ils vous donne aucun temps ou des informations
Tu trouves tjr des problèmes
Bref je recommande pas cette agence si t un nouveau client",1 étoile,il y a 6 ans
Al Barid Bank,Rabat,Al Barid Bank Direction Centrale - مصلحة القرارات والتقارير,"2535+XH4, Rabat","Le responsable du service où je me suis rendue, m'a bien accueillie, il était attentionné et très gentil... Ça change des personnes qui ne sont pas cordiales...",4 étoiles,il y a un an
Al Barid Bank,Rabat,Al Barid Bank Direction Centrale - مصلحة القرارات والتقارير,"2535+XH4, Rabat","Il ya vraiment une sourie qui empêche les fonds de sortir du gab agence Barid bque tounfite le30/01/18 j ai effectué deux transactions sans avoir toute ma pension 500dh et 300dh
Priere intervenir",2 étoiles,il y a 7 ans
Al Barid Bank,Rabat,Al Barid Bank Direction Centrale - مصلحة القرارات والتقارير,"2535+XH4, Rabat",Bon local avec une attente moyenne de 10~15 min aux heure de pointe.,5 étoiles,il y a 5 ans
Al Barid Bank,Rabat,"Al Barid Bank, Agence Agdal","X5X2+P4X, Av. Fal Ould Oumeir, Rabat",Personne à l'agence en heure de pointe. 45 min d’attente pour envoyer un courrier. A fuir,1 étoile,il y a un an
Al Barid Bank,Rabat,"Al Barid Bank, Agence Agdal","X5X2+P4X, Av. Fal Ould Oumeir, Rabat","Personnel aigri. 30 min d’attente pour mon colis alors que y’a personne à l’agence sauf le le directeur qui pianotait sur son tel et ordinateur au lieu de faire un petit geste et se lever pour voir cette cliente qui attend sous prétexte que c’est l’heure  de la prière avez vous penser à ceux qui ont une petite pause aussi qui travaillent comme vous qui ont pas bq de temps à ma grande surprise la porte s’ouvre à un fonctionnaire d’état avec un gros sourire pendant que cette femme attend son colis toujours vous êtes graves avec vos apparences .
Ps horaires continues soit disant la poste qui est un organisme de fonction public devrait respecter ses horaires pour servir le contribuable ( ceux qui les payent )",1 étoile,il y a 2 ans
Al Barid Bank,Rabat,"Al Barid Bank, Agence Agdal","X5X2+P4X, Av. Fal Ould Oumeir, Rabat","Mauvais service et délai d'attente trop long devant la porte.
System toujours en panne et caissiers souvant en pause...je galére à chaque fois que je visite cette agence...
""Une étoile car il n y a pas 0""",1 étoile,il y a 2 ans
Al Barid Bank,Rabat,Barid Al-Maghrib (Poste Rabat C.Y.M),"Hay Al Barid, Rabat-Salé-Zemmour-Zaër, 10000, Rabat, Rabat 10000",Le service et nul la livraison n’est pas venue au jour précis et personne ne répond au téléphone pour plus d’info,1 étoile,il y a un an
Al Barid Bank,Rabat,Barid Al-Maghrib (Poste Rabat C.Y.M),"Hay Al Barid, Rabat-Salé-Zemmour-Zaër, 10000, Rabat, Rabat 10000",Organisme des annees 80. Je vous le conseille pas. On est en 2021 tt leur agence on meme pas un numero joignable qu el honte,1 étoile,il y a 4 ans
Al Barid Bank,Rabat,Barid Al-Maghrib (Poste Rabat C.Y.M),"Hay Al Barid, Rabat-Salé-Zemmour-Zaër, 10000, Rabat, Rabat 10000",Catastrophique manque de personnel personne non professionnelle et trop lente,1 étoile,il y a un an
Al Barid Bank,Rabat,Barid cash Western union Ria,"poste rabat, Madinat al irfane 10112, Rabat 10112",👍 …,5 étoiles,il y a 10 mois
Al Barid Bank,Rabat,Barid cash Western union Ria,"poste rabat, Madinat al irfane 10112, Rabat 10112","Excellente agence ! Toujours un accueil chaleureux, un service rapide et professionnel. Barid Cash ( irfane )reste mon agence préférée pour toutes mes opérations.
Merci à toute l’équipe .",5 étoiles,il y a 4 jours
Al Barid Bank,Rabat,Barid cash Western union Ria,"poste rabat, Madinat al irfane 10112, Rabat 10112",pour la connaissance,5 étoiles,il y a un an
ATTIJARIWAFA BANK,Rabat,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat","La réceptionniste a fait preuve d'un manque de professionnalisme, de respect et de courtoisie. Son dialogue était inapproprié et le service fourni ne correspondait pas aux attentes d'un établissement de votre envergure.",1 étoile,il y a 3 mois
ATTIJARIWAFA BANK,Rabat,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat",Nul de chez nul de chez nul,1 étoile,il y a 4 mois
ATTIJARIWAFA BANK,Rabat,Agence Attijari Wafa Banque,"X4GH+8XM, Rabat",Un service nul avec une équipe non professionnelle,1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa bank,"X4M9+8V9, Rabat",Ont n est bien accueilli,5 étoiles,il y a un an
ATTIJARIWAFA BANK,Rabat,Attijariwafa bank,"X4M9+8V9, Rabat","agence d’incompétent aucune réponse sur le téléphone tu peut appeler jour et nuit , aucun conseil , rien, des bon a rien.",1 étoile,il y a 5 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa bank,"X4M9+8V9, Rabat",c'est une commissariat Égyptien 😉et pas une agence bancaire 😤😡 la directrice ne savent rien ou services …,1 étoile,il y a 5 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat","Service lamentable, personne ne prend la peine de décrocher le telephone …. Si t’as besoin d’un renseignement ou service a distance c’est mort !",1 étoile,il y a 3 mois
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat","La pire agence de Attijari qui laisse une mauvaise réputation sur toute la banque,
Aucune communication, directrice qui prend jamais le soin de répondre ses clients.
Comment faire pour déposer une vrai réclamation sur cette agence????",1 étoile,il y a 11 mois
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X46P+H6G, Av. Al Arz, Rabat","Je suis client RME depuis plus de 20 ans . J’étais plutôt satisfait du service avant , mais ces deniers temps ( quelques mois ) le service s’est manifestement dégradé +++ presque aucun accueil convenable  rien à voir avec le Covid . …",1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X47W+7WF, P4017, Rabat",Ils sont incompétents. Pour régler un problème de carte guichet ou autre il faut faire beaucoup d’aller retour a la banque parce qu’ils ne font jamais ce dont le client a besoin. Je suis très insatisfait de cette agence précise. Le groupe attijari doit revoir les compétences et le niveau de formation des personnes qu’ils recrutent.,1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X47W+7WF, P4017, Rabat",Ne répondent jamais ni au téléphone ni aux mails ! Complètement inutiles,1 étoile,il y a 4 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X47W+7WF, P4017, Rabat",Banque,5 étoiles,il y a 8 ans
ATTIJARIWAFA BANK,Rabat,Attijari Wafa Bank,"X4RG+6FQ, Av. Kifah, Rabat","Très bonne Banque reste la mise en place :
- visualisez son état de Crédit consommation ou immobilier.
- Recharger et décharger à volonté sa carte WEB PAY.",4 étoiles,il y a un an
ATTIJARIWAFA BANK,Rabat,Attijari Wafa Bank,"X4RG+6FQ, Av. Kifah, Rabat","je n'ai jamais vu des personnes aussi incompétentes, pour une demande de crédit j'attends depuis le mois de janvier, c'est du foutage de gueule le summum du n'importe quoi du jamais vu, un conseil celui qui veut un crédit passez votre chemin.",1 étoile,il y a 4 ans
ATTIJARIWAFA BANK,Rabat,Attijari Wafa Bank,"X4RG+6FQ, Av. Kifah, Rabat",Ont bien servis,5 étoiles,il y a un an
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"C.y.m, 959 Av. Al Massira, Rabat 10053","Service minable, je me présente a 9h30 du matin pour un chèque on me dit qu'ils sont dn train de mettre un produit covid dans l'agence, faut revenir 1 heure plus tard !!! Il est midi 15 et toujours rien, Lundi avec un réveil plutôt difficile pour les pauvres employés a ce qu'il paraît !!! La clientèle on s'en fout !!!",1 étoile,il y a 3 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"C.y.m, 959 Av. Al Massira, Rabat 10053",Nuuuuuul. Le plus mauvais service que vous pouvez trouver chez une agence bancaire.,1 étoile,il y a 9 mois
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"C.y.m, 959 Av. Al Massira, Rabat 10053",je suis très content du service...,5 étoiles,il y a 9 mois
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X495+6RV, Av. Al Majd, Rabat",Personnel n'est pas à la hauteur d'une banque comme Attijariwafa bank,1 étoile,il y a 3 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X495+6RV, Av. Al Majd, Rabat",Est ce que vous avez un service wafacash ?,3 étoiles,il y a 6 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"X495+6RV, Av. Al Majd, Rabat",Joli bank,5 étoiles,il y a 7 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"2542+489, Rabat",mauvaise agence service nul il ne répond pas au clt,1 étoile,il y a 10 mois
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"2542+489, Rabat","Une catastrophe, tout simplement. Toujours une attente ridiculement lente , un service désagréable et peu efficace.",1 étoile,il y a un an
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank,"2542+489, Rabat","Impossible de les joindre, avec 0 compétence, je regrette cette adhésion... la honte pour une banque comme attijari !",1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank Ennakhil,"X43P+9H4, av. Annakhil, ang. Av. Mehdi Benbarka, Espace les lauriers, Hay Ryad, Agdal Riyad","Compte entreprise, gestion catastrophique.
Le virement des salaires du mois de mai, transmis le 31 mai ne sont toujours pas parvenus à mes salariés le 5 juin.
L’agence Ennakhil me demande de contacter le service client.
Le service client m’indique qu’il s agit de la responsabilité de l agence Ennakhil.

Les deux services me raccroche au nez devant cette situation qu’ils jugent exceptionnelle sans même me proposer de solution. On me demande de patienter. Dites cela à vos jeunes salariés qui ont besoin de cet argent pour vivre.

Je n’ai jamais vu autant d’incompétence sur un sujet aussi sensible que le versement des salaires.

Je ne recommande PAS DU TOUT, FUYEZ!!",1 étoile,il y a 11 mois
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank Ennakhil,"X43P+9H4, av. Annakhil, ang. Av. Mehdi Benbarka, Espace les lauriers, Hay Ryad, Agdal Riyad","C’est pas normal , il y a une seule personne au guichet qui fait tout et deux autres personnes dans la même banque mais qui peuvent pas aider . Je trouve qu il faut recruter plus de personne ou bien donner la main au gens qui travaille qu …",5 étoiles,il y a 8 mois
ATTIJARIWAFA BANK,Rabat,Attijariwafa Bank Ennakhil,"X43P+9H4, av. Annakhil, ang. Av. Mehdi Benbarka, Espace les lauriers, Hay Ryad, Agdal Riyad",Bonjour s'il existait moins qu'une étoile je la donnerais. Une seule personne pour servir tout le monde. C absolument catastrophique. Pour faire une opération il faut attendre 1 heure et avec ça seulement 3 personnes.,1 étoile,il y a 10 mois
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT HAY RIYAD,"Place CARRE, 7 Av. Attine, Rabat 10105","La qualité des services est lamentable.
4 mois que j'attends le retour du service client sur une erreur liée au distributeur qui m'a imputé de l'argent de mon compte sans que ça sorte. Désintérêt et lenteur totale du service client qui s'en fout royalement que mon argent ne me soit pas rendue.",1 étoile,il y a 4 ans
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT HAY RIYAD,"Place CARRE, 7 Av. Attine, Rabat 10105","Service nul
Plusieurs tentatives d appels téléphoniques impossible de les avoir",1 étoile,il y a 9 mois
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT HAY RIYAD,"Place CARRE, 7 Av. Attine, Rabat 10105",Depuis le changement du directeur et du personnels la qualité des services s'est beaucoup dégradée,1 étoile,il y a 5 ans
BANK OF AFRICA,Rabat,Bank of Africa,"X45J+2C9, Av. Annakhil, Rabat","La personne qui s'occupe de la caisse est sorti aider une personne qui ne pouvait pas marcher et lui a ramené à signer en voiture.
Au début je me suis énervé parce que j'ai cru qu'il avait abandonné son poste. Du coup je le récompense avec ce message.",5 étoiles,il y a 2 ans
BANK OF AFRICA,Rabat,Bank of Africa,"X45J+2C9, Av. Annakhil, Rabat","J’ai ouvert un compte marocain résident à l’étranger il y’a dix ans , si je ne suis pas sur place ! pour me déplacer à l’agence , personne ne répond au téléphone ni au mail , impossible de gérer son compte à distance , service client 0, j’ai même fait des réclamations, écris , courrier , appeler tous les jours , il n’y a personne . Je veux résilier mais je doit prendre l’avion pour ça ! Je ne veux plus avoir affaire à eux ! Nul ! Nul ! Nul!",1 étoile,il y a 3 ans
BANK OF AFRICA,Rabat,Bank of Africa,"X45J+2C9, Av. Annakhil, Rabat","SERVICE MEDIOCRE, CONSEILLEIRE SUR L'APPLICATION N'EST PAS JOIGNABLE TOUT LE TEMPS À TRAVERS LES 3 CONTACTS, MAIL & NUMERO DE TELEPHONE & NUMERO PORTABLE, SERVICE NUL NUL 0/10",1 étoile,il y a un an
BANK OF AFRICA,Rabat,BANK OF AFRICA (BMCE) Direction régionale Centre Atlantique,"X5FC+26J, R401, Rabat",Misérable à l agence de Temara avenue hassan 1 ou les clients attendent dehors pour de simple démarche car la direction régionale fait encore appliquer des directives du covid en 2024.  De plus cette même agence refuse de faire un change car leur machine est en panne .,1 étoile,il y a 8 mois
BANK OF AFRICA,Rabat,BANK OF AFRICA (BMCE) Direction régionale Centre Atlantique,"X5FC+26J, R401, Rabat",Parfait design,5 étoiles,il y a un an
BANK OF AFRICA,Rabat,BANK OF AFRICA (BMCE) Direction régionale Centre Atlantique,"X5FC+26J, R401, Rabat",Si Wael...la nation est châtaigne et je ne sais pas où il est allé manger ou pas.WC,1 étoile,il y a un an
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT IBNOU SINA,"32 ANGLE AV MICHLIFEN ET، R. Honain, Rabat 10000","On est arrivé pour un crédit immobilier, voici le type d’accueil: on a été dirigé vers Mme Layla. La dame était sur son cellulaire personnel entrain de mâcher la gomme ( pas du tout professionnel ni digne d’une banque). On avait une dame âgée avec nous. Mme Layla, sur un ton hautain, nous dit qu’elle a seulement une chaise et que seulement un de nous ( on était 4, 3 intéressé par un crédit immobilier). On arrivant de Ittijari et l’accueil était une merveilleuse expérience avec le même nombre de personnes et la même demande). J’ai essayé de parler au directeur, apparement en réunion!!!",1 étoile,il y a 3 semaines
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT IBNOU SINA,"32 ANGLE AV MICHLIFEN ET، R. Honain, Rabat 10000","Excellent

. …",5 étoiles,il y a un an
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT IBNOU SINA,"32 ANGLE AV MICHLIFEN ET، R. Honain, Rabat 10000",Pas de texte,5 étoiles,il y a un an
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT CENTRALE,"260 Av. Mohammed V, Rabat 10020",des fantômes !,1 étoile,il y a 3 mois
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT CENTRALE,"260 Av. Mohammed V, Rabat 10020",Impossible de répondre au Téléphone pour avoir des renseignements.,1 étoile,il y a un an
BANK OF AFRICA,Rabat,BANK OF AFRICA RABAT CENTRALE,"260 Av. Mohammed V, Rabat 10020","Banque d'Afrique, Dior Jama'a, rue Hassan II",5 étoiles,il y a un an
BANK OF AFRICA,Rabat,Bank of Africa,"X4RH+JW4, Quartier Al Kamra, Yacoub El Mansour, Yacoub El Mansour 10053","En tant que cliente fidèle depuis plus de 5 ans, je suis très déçue par la dégradation du service de cette agence.
Le service qui était autrefois excellent est maintenant médiocre. La conseillère sur place est incompétente et manque totalement de professionnalisme.
Je ne me sens plus écoutée ni prise en charge comme avant. C'est vraiment dommage de voir une telle régression dans la qualité du service.",1 étoile,il y a 8 mois
BANK OF AFRICA,Rabat,Bank of Africa,"X4RH+JW4, Quartier Al Kamra, Yacoub El Mansour, Yacoub El Mansour 10053","Accueil et service catastrophique pour entreprises. J'ai fini par ouvrir le compte de mon entreprise chez Attijari juste à côté. Le monsieur est resté sur son téléphone portable, terminé son appel personnel dans 10 min avant de se retourner …",1 étoile,il y a 6 mois
BANK OF AFRICA,Rabat,Bank of Africa,"X4RH+JW4, Quartier Al Kamra, Yacoub El Mansour, Yacoub El Mansour 10053","Je déconseille vivement aucun sens de l'accueil, ni de professionnalisme. Cherchez une autre banque.",1 étoile,il y a 5 mois
BANK OF AFRICA,Rabat,BMCE BANK,"X4C7+QR9, Rabat","Service est nul. Les commerciaux ne veulent pas travailler a chaque fois meme excuse ""probleme systeme"" juste pour ne pas effectuer le service. Un moment donné il faut trouver des solutions car on ne peut plus",1 étoile,il y a un an
BANK OF AFRICA,Rabat,BMCE BANK,"X4C7+QR9, Rabat","le service est nule. la queux  et long. l'absence  d'ecoute des clients. securite tres orgelleux .

accueil  passable .

le milieu et organise et bien aménagé  mais les resource humaine non. je suis venu pouur un cheque a 14h et on me demande de revenir apres 1 heure car il ont une pause dej. et a 15 h j'attend mon tour avec une autre queux alors. et sans aucune sympatie de la part des enploye surtout une jeune femme.

bon j'ai pas aime le service de cet entreprise et je voi pas une satisfaction de la part des autre clients.

bon je ne conseil personne d'auvrir un compte ici 😐",1 étoile,il y a 8 ans
BANK OF AFRICA,Rabat,BMCE BANK,"X4C7+QR9, Rabat",Agence facile pour  faire des projets,5 étoiles,il y a 7 mois
BANK OF AFRICA,Rabat,Bank of Africa,"2583+MPW, Rabat",Bonne services,4 étoiles,il y a 2 ans
BANK OF AFRICA,Rabat,Bank of Africa,"2583+MPW, Rabat",Mauvais service dans cette agence,1 étoile,il y a 2 ans
BANK OF AFRICA,Rabat,Bank of Africa,"2583+MPW, Rabat",Médiocre!,1 étoile,il y a 5 ans
BANK OF AFRICA,Rabat,BMCE Bank,"X43F+VXM, avenue Alaraar, Agdal Riyad",Excellent accueil tout le personnel est à encourager,5 étoiles,il y a 2 ans
BANK OF AFRICA,Rabat,BMCE Bank,"X43F+VXM, avenue Alaraar, Agdal Riyad",N existe plus...,2 étoiles,il y a 6 ans
BANK OF AFRICA,Rabat,BMCE Bank,"X43F+VXM, avenue Alaraar, Agdal Riyad",Service satisfaisant,4 étoiles,il y a 9 ans
BANK OF AFRICA,Rabat,BMCE Bank,"X5W2+P2J, Rabat","Du jamais vu !!!
Lahawla wala kowaa:
Une agence bancaire BMCE/Banque Afriqua implantée en avenue de France à Rabat, ne respectant pas les clients: Le vendredi 24 janvier 2025, au alentour de 13h, le service d'accueil des clients (Traitement des chèques, versements, retraits,....) de cette agence a été en pause totale, car selon le vigil tout le personnel est parti en dehors de  cettte agence pour prendre le déjeuner (hhh...) et il faut attendre au moins 30 min pour réceptionner les clients et reprendre le service.
C'est tellement bizarre une enquête centrale via la Médiation permettra d'illucider ces mauvaises pratiques considérées inadmissibles....affaire à suivre....",1 étoile,il y a 3 mois
BANK OF AFRICA,Rabat,BMCE Bank,"X5W2+P2J, Rabat","Le service à la clientèle laisse à désirer. Les conseillers ne dédient pas leur attention à un client et encore moins à celui/celle devant eux. À prévoir une attente de minimum une heure si besoin de plus que retirer de l'argent.
Endroit très petit et restraint... L'autre succursale à Rabat est mieux",2 étoiles,il y a 7 mois
BANK OF AFRICA,Rabat,BMCE Bank,"X5W2+P2J, Rabat","Service nul et très lent (BMCE av de France, Rabat).
Leur num de téléphone ne sert à rien! Il répondent même pas!!!!",1 étoile,il y a 5 ans
BMCI,Rabat,BMCI,"Parcelle n°6, Secteur 9, Lot 18, Rabat 10000","Le piiiiiiiiiire des services qui existe au Maroc. Un simple papier a du traîner un mois complet. Sans parler des relances à chaque semaine et tout le temps qu’on m’a fait perdre. Et le piiiiire en tout ça. C’est la malhonnêteté de la personne qui s’en occupait (elle ne cessait de dire qu’elle a bien fait sa part du travail et que le retard vienne du siège)
Après avoir creuser, je découvre que ma demande n’a été transmise qu’après avoir réclamer auprès du siège. Du 16/08/2021 au 10/09/2021 (temps mort) alors qu’une simple main levée se traite normalement en 48h
En revanche je les remercie de m’avoir appris une bonne leçon. « Ne jamais prendre un crédit auto »",1 étoile,il y a 3 ans
BMCI,Rabat,BMCI,"Parcelle n°6, Secteur 9, Lot 18, Rabat 10000","Service médiocre!!
Je vais changer de banque a cause de cette agence et le comportement de ses employés .",1 étoile,il y a 10 mois
BMCI,Rabat,BMCI,"Parcelle n°6, Secteur 9, Lot 18, Rabat 10000",Impossible de les joindre,5 étoiles,il y a 6 mois
BMCI,Rabat,BMCI,"Hay El Menzeh Cité, 606, Rabat 10000",système et service nul  .la nouvelle équipe doit être re-formée pour savoir ce qui est bien la notion du client. je vous cache pas cette banque n'arrive même pas a changé mon adresse postale et corrigé mon numéro tel dans leur système. ça fait presque une année que je suis avec eux sur ce sujet mais sans succès. finalement la solution c'est de les quitter sans regret.,1 étoile,il y a 3 ans
BMCI,Rabat,BMCI,"Hay El Menzeh Cité, 606, Rabat 10000","L’acceuil et les gens qui travails c sympathique, mais le service est zero ( je pense pas que ca vient des agents eux meme!) mais le système bancaire rigide Français dépasser en 2021, nous fait perdre notre investissement au Maroc et notre …",1 étoile,il y a 3 ans
BMCI,Rabat,BMCI,"Hay El Menzeh Cité, 606, Rabat 10000","Les banques commerciales assurent la bonne tenue d'un registre des comptes et la gestion des transferts entre ces comptes. À ce titre elles facilitent les échanges économiques et sont censées contribuer à la traçabilité des flux financiers. L'État leur confère souvent et de plus en plus la responsabilité d'assurer la traçabilité des opérations financières et ainsi de contribuer à la lutte contre les trafics illicites, le blanchiment d'argent ou plus récemment contre la fraude fiscale (Voir en particulier la lutte contre les paradis fiscaux).

De plus, dans le système financier moderne, les banques bénéficient d'un pouvoir important dans la mesure où elles sont fortement associées au mécanisme de création de la monnaie. Les banques ont en effet la faculté de créer et de gérer des dettes. Toute dette ainsi créée équivaut à une création de monnaie, toute dette éteinte par son remboursement équivaut à une destruction de monnaie.
L'impact économique de cette monnaie dite « scripturale » selon les mécanismes décrits par la théorie économique sont importants",5 étoiles,il y a 7 ans
BMCI,Rabat,BMCI,"6 Av. Mehdi Ben Barka, Rabat 10000",Un service tres mediocre. Tres lent ! Je crois qu'au moyen age les banques etaient plus rapides. Aucun profesionalisme. On sait a quoi s'attendre d'une banque marocaine.,1 étoile,il y a un an
BMCI,Rabat,BMCI,"6 Av. Mehdi Ben Barka, Rabat 10000","Accueil sympathique mais service bancaire déplorable.

Suite à une erreur de leur part, on me facture des frais injustifiés. Malgre mes reclamations, on me ponctionne de quelques centaines de Dirhams de manière totalement abusive.

La direction semble manquer de souplesse et de compréhension.

Agence à fuir en courant...",1 étoile,il y a 6 ans
BMCI,Rabat,BMCI,"6 Av. Mehdi Ben Barka, Rabat 10000",Service se détériore jour après jour avec ses nouveaux recrus il y a un laisser aller total,1 étoile,il y a 7 ans
BMCI,Rabat,BMCI,"rabat mamounia, Rabat 10000","Rendez-moi mes 2000 dirhams que j’avais demandé à la machine de faire sortir et que je n’ai jamais eu mais ça apparaît sur l’app de ma banque espagnole comme si l’opération aurait eu du succès. Jusqu’à que je ne les ai pas, je ne supprimerai pas cette publication.",1 étoile,il y a un mois
BMCI,Rabat,BMCI,"rabat mamounia, Rabat 10000","Former bien vous employez, agence minable",1 étoile,il y a 3 ans
BMCI,Rabat,BMCI,"rabat mamounia, Rabat 10000",Service khayb bzaf ta3amol machi pro...,1 étoile,il y a 3 ans
BMCI,Rabat,BMCI,"et 2, Angle rue Oued Al Makhazine, rue du 16 Novembre, Rabat 10000","Cette agence est une catastrophe. Ils ne répondent pas au téléphone, leur service laisse à désirer, et il faut être extrêmement vigilant avec son compte bancaire. À deux reprises, ils ont tenté de me prélever une assurance que je n’avais même pas souscrite. Ce n’est qu’en vérifiant moi-même que j’ai remarqué l’erreur et les ai contactés. Ils ont fini par reconnaître leur faute et ont promis de me rembourser. Autant dire qu’il faut vraiment faire attention avec eux.",1 étoile,il y a un mois
BMCI,Rabat,BMCI,"et 2, Angle rue Oued Al Makhazine, rue du 16 Novembre, Rabat 10000","Nul , ils ne répondent jamais au téléphone, mettent plus de 2 voire 3 mois pour recevoir une carte bleue, enfin le distributeur ne fonctionne qu'un jour sur 2 !!",1 étoile,il y a 5 ans
BMCI,Rabat,BMCI,"et 2, Angle rue Oued Al Makhazine, rue du 16 Novembre, Rabat 10000","Le service le plus nul jamais vu, déçu",1 étoile,il y a un an
BMCI,Rabat,BMCI,"Angle rue Ouargha, Av. de France, Rabat 10000",6/10,3 étoiles,il y a 8 mois
BMCI,Rabat,BMCI,"Angle rue Ouargha, Av. de France, Rabat 10000",Pas de texte,5 étoiles,il y a un mois
BMCI,Rabat,Agence Al Abtal - BMCI,"7 Av. Al Abtal, Rabat 10000","Service nul
Personnel incompetent",1 étoile,il y a 2 mois
BMCI,Rabat,Agence Al Abtal - BMCI,"7 Av. Al Abtal, Rabat 10000",Service nul …une agence sans  imprimante c’est minable les employer ne veulent pas travailler sont la que pour le décor!! A chaque fois il font partir les client par des prétexte différent. Je suis dépité à chaque fois le système ne fonctionne pas c’est le cas pour toute les agences bmci pas de professionnalisme je ne recommande pas,1 étoile,il y a 3 ans
BMCI,Rabat,Agence Al Abtal - BMCI,"7 Av. Al Abtal, Rabat 10000","BMCI synonyme d'incompétence et de glandage, des salariés irrespectueux et mal élevés n'ont aucun sens de la relation client. On voit facilement sur leurs regards qu'ils n'ont aucune idée des procédures ni du fonctionnement de leurs outils …",1 étoile,il y a 3 ans
